ReferenceID,Link of the Product,SKU,CampaignID,CampaignName,Keywords,Keywords Type,Current Bid,Adjust Bid,Max Bid,Sponsored Rank,Organic Rank,Is Top 24 Advertised,Recipient,Item Type,Path
0011,https://www.ebay.com.au/itm/187018319975,KYOFC213CM013-Brown,85517261013,KY013-Brown,outdoor furniture cover,EXACT,0.7,0.8,1.05,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0012,https://www.ebay.com.au/itm/187018319975,KYOFC213CM013-Brown,85517261013,KY013-Brown,outdoor furniture cover,PHRASE,0.6,0.7,1.05,P1 - 2 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0013,https://www.ebay.com.au/itm/187018319975,KYOFC213CM013-Brown,85517261013,KY013-Brown,waterproof outdoor furniture cover,EXACT,0.62,0.72,1.05,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0014,https://www.ebay.com.au/itm/187018319975,KYOFC213CM013-Brown,85517261013,KY013-Brown,heavy duty outdoor furniture cover,EXACT,0.31,,1.05,P1 - 1 / 68,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0015,https://www.ebay.com.au/itm/187018319975,KYOFC213CM013-Brown,85517261013,KY013-Brown,square outdoor furniture covers waterproof,EXACT,0.91,1.01,1.05,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0016,https://www.ebay.com.au/itm/187018319975,KYOFC213CM013-Brown,85517261013,KY013-Brown,outdoor furniture cover square,EXACT,0.91,,1.05,P1 - 3 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0017,https://www.ebay.com.au/itm/186952636254,SLEO12P221,77769053013,SL221,essential oils,EXACT,0.5,0.6,1.05,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0018,https://www.ebay.com.au/itm/186952636254,SLEO12P221,77769053013,SL221,essential oils,PHRASE,0.32,0.42,1.05,P2 - 16 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0019,https://www.ebay.com.au/itm/186952636254,SLEO12P221,77769053013,SL221,essential oils set,EXACT,0.81,0.91,1.05,P1 - 24 / 70,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0020,https://www.ebay.com.au/itm/186952636254,SLEO12P221,77769053013,SL221,diffuser oils,EXACT,0.5,0.6,1.05,No,P2 - 38 / 62,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0021,https://www.ebay.com.au/itm/186952631532,SLODEOS222,77769027013,SL222,diffuser,EXACT,0.6,0.7,1.77,P2 - 1 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0022,https://www.ebay.com.au/itm/186952631532,SLODEOS222,77769027013,SL222,diffuser,PHRASE,0.35,0.45,1.77,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0023,https://www.ebay.com.au/itm/186952631532,SLODEOS222,77769027013,SL222,oil diffuser,EXACT,0.6,0.7,1.77,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0024,https://www.ebay.com.au/itm/186952629545,SLOD02L220,77768999013,SL220,diffuser,PHRASE,0.5,0.6,1.17,No,P1 - 57 / 70,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0025,https://www.ebay.com.au/itm/186952629545,SLOD02L220,77768999013,SL220,essential oil diffuser,EXACT,0.5,0.6,1.17,P1 - 24 / 70,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0026,https://www.ebay.com.au/itm/186952626613,SLAGS2P410,77768929013,SL410,salt and pepper grinders,EXACT,0.91,,0.96,P1 - 4 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0027,https://www.ebay.com.au/itm/186952626613,SLAGS2P410,77768929013,SL410,salt and pepper grinders,PHRASE,0.25,,0.96,P1 - 2 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0028,https://www.ebay.com.au/itm/186952626613,SLAGS2P410,77768929013,SL410,pepper mill,EXACT,0.91,,0.96,P1 - 3 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0029,https://www.ebay.com.au/itm/186952626613,SLAGS2P410,77768929013,SL410,electric coffee grinder,EXACT,0.5,0.6,0.96,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0030,https://www.ebay.com.au/itm/186952626613,SLAGS2P410,77768929013,SL410,salt and pepper,EXACT,1.2,,0.96,P1 - 2 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0031,https://www.ebay.com.au/itm/186952626613,SLAGS2P410,77768929013,SL410,electric salt and pepper grinders,EXACT,0.84,,0.96,P1 - 3 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0032,https://www.ebay.com.au/itm/186952626613,SLAGS2P410,77768929013,SL410,salt and pepper grinders electric,EXACT,0.49,,0.96,P1 - 2 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0033,https://www.ebay.com.au/itm/186890399337,TXHDTBP703,66158949013,TX703,tool bag,PHRASE,0.5,0.6,2.5,P1 - 22 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0034,https://www.ebay.com.au/itm/186890399337,TXHDTBP703,66158949013,TX703,tool bag backpack,EXACT,0.64,,2.5,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0035,https://www.ebay.com.au/itm/186890399337,TXHDTBP703,66158949013,TX703,backpack tool bag,EXACT,0.64,,2.5,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0036,https://www.ebay.com.au/itm/186890399319,TXTB16H702,66158941013,TX702,tool bag,PHRASE,0.5,,1.77,P1 - 3 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0037,https://www.ebay.com.au/itm/186890399319,TXTB16H702,66158941013,TX702,tool tote,EXACT,0.54,,1.77,P1 - 1 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0038,https://www.ebay.com.au/itm/186890399319,TXTB16H702,66158941013,TX702,electrician tool bag,EXACT,0.56,0.66,1.77,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0039,https://www.ebay.com.au/itm/186890399319,TXTB16H702,66158941013,TX702,tool tote bag,EXACT,0.5,,1.77,P1 - 1 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0040,https://www.ebay.com.au/itm/186890399319,TXTB16H702,66158941013,TX702,tool bag heavy duty,EXACT,0.57,,1.77,P1 - 4 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0041,https://www.ebay.com.au/itm/186890399319,TXTB16H702,66158941013,TX702,tool bag tote,EXACT,0.64,,1.77,P1 - 1 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0042,https://www.ebay.com.au/itm/186890399319,TXTB16H702,66158941013,TX702,open top tool bag,EXACT,0.64,,1.77,P1 - 2 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0043,https://www.ebay.com.au/itm/186890399319,TXTB16H702,66158941013,TX702,tote tool bag,EXACT,0.64,,1.77,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0044,https://www.ebay.com.au/itm/186890399319,TXTB16H702,66158941013,TX702,heavy duty tool bag,EXACT,0.75,,1.77,P1 - 3 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0045,https://www.ebay.com.au/itm/186890399308,TXTB24N701,66158927013,TX701,tool bag,PHRASE,0.5,,1.47,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0046,https://www.ebay.com.au/itm/186890399308,TXTB24N701,66158927013,TX701,tool tote,EXACT,0.44,0.54,1.47,No,P1 - 4 / 62,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0047,https://www.ebay.com.au/itm/186890399308,TXTB24N701,66158927013,TX701,electrician tool bag,EXACT,0.59,0.69,1.47,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0048,https://www.ebay.com.au/itm/186890399308,TXTB24N701,66158927013,TX701,tool tote bag,EXACT,0.4,0.5,1.47,No,P1 - 5 / 62,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0049,https://www.ebay.com.au/itm/186890399308,TXTB24N701,66158927013,TX701,tool bag,EXACT,1.2,,1.47,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0050,https://www.ebay.com.au/itm/186854942746,SLGC10P107,57575304013,SL107,glass containers with lids,EXACT,0.34,,1.65,P1 - 2 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0051,https://www.ebay.com.au/itm/186854942746,SLGC10P107,57575304013,SL107,glass food storage containers,EXACT,0.4,,1.65,P1 - 1 / 66,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0052,https://www.ebay.com.au/itm/186854942746,SLGC10P107,57575304013,SL107,glass meal prep containers,EXACT,0.33,,1.65,P1 - 3 / 66,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0053,https://www.ebay.com.au/itm/186854942746,SLGC10P107,57575304013,SL107,meal prep containers,EXACT,0.28,0.38,1.65,P1 - 22 / 68,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0054,https://www.ebay.com.au/itm/186854942746,SLGC10P107,57575304013,SL107,glass containers,EXACT,0.38,0.48,1.65,No,P1 - 14 / 66,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0055,https://www.ebay.com.au/itm/186854942746,SLGC10P107,57575304013,SL107,food containers,EXACT,1.46,,1.65,P1 - 23 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0056,https://www.ebay.com.au/itm/186854942746,SLGC10P107,57575304013,SL107,glass food containers,EXACT,0.65,,1.65,P1 - 1 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0057,https://www.ebay.com.au/itm/186850688517,SLAH25L210,56659506013,SL210,humidifier,PHRASE,0.22,,1.77,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0058,https://www.ebay.com.au/itm/186850688517,SLAH25L210,56659506013,SL210,aroma diffuser,PHRASE,0.34,0.44,1.77,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0059,https://www.ebay.com.au/itm/186850688517,SLAH25L210,56659506013,SL210,essential oil diffuser,EXACT,1.54,1.64,1.77,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0060,https://www.ebay.com.au/itm/186850688517,SLAH25L210,56659506013,SL210,cool mist humidifier,EXACT,1.4,,1.77,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0061,https://www.ebay.com.au/itm/186850688517,SLAH25L210,56659506013,SL210,humidifier,EXACT,1.55,1.65,1.77,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0062,https://www.ebay.com.au/itm/186850688517,SLAH25L210,56659506013,SL210,air humidifier,EXACT,1.2,1.3,1.77,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0063,https://www.ebay.com.au/itm/186850688410,SLPT11N130,56659433013,SL130,paper towel holder,PHRASE,0.59,0.69,1.17,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0064,https://www.ebay.com.au/itm/186850688410,SLPT11N130,56659433013,SL130,tear towel holder,PHRASE,0.3,0.4,1.17,No,P1 - 5 / 70,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0065,https://www.ebay.com.au/itm/186850688410,SLPT11N130,56659433013,SL130,kitchen roll holder,EXACT,0.9,,1.17,P1 - 3 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0066,https://www.ebay.com.au/itm/186850688361,SLAP10W202,56659402013,SL202,air purifier,PHRASE,0.2,,2.5,P1 - 2 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0067,https://www.ebay.com.au/itm/186850688361,SLAP10W202,56659402013,SL202,air purifier,EXACT,1.4,,2.5,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0068,https://www.ebay.com.au/itm/186850688361,SLAP10W202,56659402013,SL202,air purifiers for the home,EXACT,0.31,,2.5,P1 - 3 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0069,https://www.ebay.com.au/itm/186850688361,SLAP10W202,56659402013,SL202,air purifier home,EXACT,1.8,,2.5,P1 - 2 / 68,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0070,https://www.ebay.com.au/itm/186850688361,SLAP10W202,56659402013,SL202,air purifier hepa,EXACT,1.1,,2.5,P1 - 3 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0071,https://www.ebay.com.au/itm/186850688361,SLAP10W202,56659402013,SL202,hepa air purifier,EXACT,0.32,0.42,2.5,P1 - 4 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0072,https://www.ebay.com.au/itm/186850688361,SLAP10W202,56659402013,SL202,air purifiers for the bedroom,EXACT,0.4,,2.5,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0073,https://www.ebay.com.au/itm/186826151170,TX526,50273395013,TX526,reciprocating saw,PHRASE,1.83,,2.5,P1 - 2 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0074,https://www.ebay.com.au/itm/186826151170,TX526,50273395013,TX526,reciprocating saw blades metal,EXACT,0.3,,2.5,P1 - 2 / 67,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0075,https://www.ebay.com.au/itm/186826151170,TX526,50273395013,TX526,reciprocating saw,EXACT,1.6,,2.5,P1 - 2 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0076,https://www.ebay.com.au/itm/186790415920,SLJL1KW500,43444286013,SL500,commercial blender,EXACT,0.99,1.09,2.07,P1 - 23 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0077,https://www.ebay.com.au/itm/186790415920,SLJL1KW500,43444286013,SL500,smoothie blender,EXACT,0.91,,2.07,P1 - 4 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0078,https://www.ebay.com.au/itm/186790415920,SLJL1KW500,43444286013,SL500,juicer blender,EXACT,0.76,,2.07,P1 - 2 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0079,https://www.ebay.com.au/itm/186790415920,SLJL1KW500,43444286013,SL500,blender smoothie,EXACT,1,,2.07,P1 - 2 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0080,https://www.ebay.com.au/itm/186790415920,SLJL1KW500,43444286013,SL500,bullet blender,EXACT,0.3,0.4,2.07,P1 - 4 / 68,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0081,https://www.ebay.com.au/itm/186790415920,SLJL1KW500,43444286013,SL500,fruit blender,EXACT,0.48,,2.07,P1 - 3 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0082,https://www.ebay.com.au/itm/186790415920,SLJL1KW500,43444286013,SL500,electric blender,EXACT,1.3,,2.07,P1 - 3 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0083,https://www.ebay.com.au/itm/186784286110,TXTI12V010,43444222013,TX010,tyre inflator,PHRASE,0.55,,2.07,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0084,https://www.ebay.com.au/itm/186784286110,TXTI12V010,43444222013,TX010,portable air compressor,EXACT,2.1,,2.07,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0085,https://www.ebay.com.au/itm/186784286110,TXTI12V010,43444222013,TX010,12v air compressor,EXACT,0.98,,2.07,P1 - 15 / 70,P1 - 27 / 70,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0086,https://www.ebay.com.au/itm/186784286110,TXTI12V010,43444222013,TX010,air pump for car,EXACT,1.75,,2.07,P1 - 2 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0087,https://www.ebay.com.au/itm/186784286110,TXTI12V010,43444222013,TX010,air compressor 12v,EXACT,0.77,,2.07,P1 - 12 / 68,P1 - 19 / 68,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0088,https://www.ebay.com.au/itm/186784286110,TXTI12V010,43444222013,TX010,air compressor tyre inflator,EXACT,0.55,,2.07,P1 - 2 / 67,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0089,https://www.ebay.com.au/itm/186784286110,TXTI12V010,43444222013,TX010,portable tyre inflator,EXACT,1.75,,2.07,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0090,https://www.ebay.com.au/itm/186784286110,TXTI12V010,43444222013,TX010,car tyre inflator,EXACT,0.3,,2.07,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0091,https://www.ebay.com.au/itm/186784352636,TXBC10A460-10A,43444214013,TX460-10A,car battery charger,EXACT,0.35,0.45,2.5,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0092,https://www.ebay.com.au/itm/186784352636,TXBC10A460-10A,43444214013,TX460-10A,12v battery charger,EXACT,0.35,0.45,2.5,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0093,https://www.ebay.com.au/itm/186784352636,TXBC10A460-10A,43444214013,TX460-10A,lithium battery charger 12v,EXACT,0.35,0.45,2.5,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0094,https://www.ebay.com.au/itm/186784352636,TXBC10A460-10A,43444214013,TX460-10A,motorcycle battery charger,EXACT,0.35,0.45,2.5,P1 - 47 / 70,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0095,https://www.ebay.com.au/itm/186784352636,TXBC10A460-10A,43444214013,TX460-10A,smart battery charger,EXACT,0.35,0.45,2.5,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0096,https://www.ebay.com.au/itm/186784352636,TXBC10A460-10A,43444214013,TX460-10A,battery charger,EXACT,0.35,0.45,2.5,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0097,https://www.ebay.com.au/itm/186784439614,TXDS20V312,43444176013,TX312,cordless sander,PHRASE,0.8,0.9,2.5,P1 - 22 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0098,https://www.ebay.com.au/itm/186784439614,TXDS20V312,43444176013,TX312,cordless detail sander,PHRASE,1.13,1.23,2.5,P1 - 2 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0099,https://www.ebay.com.au/itm/186784439614,TXDS20V312,43444176013,TX312,mouse sander,EXACT,1.3,1.4,2.5,P1 - 3 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0100,https://www.ebay.com.au/itm/186784439614,TXDS20V312,43444176013,TX312,cordless sander,EXACT,1.36,1.46,2.5,P1 - 37 / 70,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0101,https://www.ebay.com.au/itm/186784439614,TXDS20V312,43444176013,TX312,palm sander,EXACT,0.44,0.54,2.5,P1 - 35 / 66,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0102,https://www.ebay.com.au/itm/186784439614,TXDS20V312,43444176013,TX312,sander,EXACT,1.2,1.3,2.5,P1 - 38 / 70,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0103,https://www.ebay.com.au/itm/186704238905,TXMK2PC059,23771116013,TX059,multitool pliers,PHRASE,0.3,,1.35,P1 - 2 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0104,https://www.ebay.com.au/itm/186704238905,TXMK2PC059,23771116013,TX059,folding knife,PHRASE,1.27,1.35,1.35,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0105,https://www.ebay.com.au/itm/186704238905,TXMK2PC059,23771116013,TX059,pocket knife,EXACT,1.17,1.27,1.35,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0106,https://www.ebay.com.au/itm/186704238905,TXMK2PC059,23771116013,TX059,multi tool,EXACT,0.57,0.67,1.35,P1 - 23 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0107,https://www.ebay.com.au/itm/186704227004,SLSC450301,23771086013,SL301,lumbar cushion,EXACT,0.37,,1.35,P1 - 16 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0108,https://www.ebay.com.au/itm/186704227004,SLSC450301,23771086013,SL301,lumbar support car,EXACT,0.32,0.42,1.35,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0109,https://www.ebay.com.au/itm/186704227004,SLSC450301,23771086013,SL301,car lumbar back support pillow,EXACT,0.3,,1.35,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0110,https://www.ebay.com.au/itm/186704227004,SLSC450301,23771086013,SL301,car back cushion,EXACT,0.8,0.9,1.35,P1 - 3 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0111,https://www.ebay.com.au/itm/186704227004,SLSC450301,23771086013,SL301,lumbar support cushion,EXACT,0.32,0.42,1.35,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0112,https://www.ebay.com.au/itm/186704227004,SLSC450301,23771086013,SL301,lumbar support pillow,EXACT,0.68,0.78,1.35,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0113,https://www.ebay.com.au/itm/186704227004,SLSC450301,23771086013,SL301,back support cushion,EXACT,0.8,0.9,1.35,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0114,https://www.ebay.com.au/itm/186704227004,SLSC450301,23771086013,SL301,back support pillow,PHRASE,1.35,,1.35,P1 - 2 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0115,https://www.ebay.com.au/itm/186704227004,SLSC450301,23771086013,SL301,ergonomic back cushion,PHRASE,0.4,0.5,1.35,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0116,https://www.ebay.com.au/itm/186704217410,SLFC460300,23771055013,SL300,butt support pillow,EXACT,0.3,0.4,1.35,No,P1 - 5 / 68,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0117,https://www.ebay.com.au/itm/186704217410,SLFC460300,23771055013,SL300,car seat cushion,EXACT,0.69,0.79,1.35,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0118,https://www.ebay.com.au/itm/186704217410,SLFC460300,23771055013,SL300,foam seat cushion,EXACT,1.2,,1.35,P1 - 2 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0119,https://www.ebay.com.au/itm/186704217410,SLFC460300,23771055013,SL300,memory foam seat,EXACT,1.2,,1.35,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0120,https://www.ebay.com.au/itm/186704217410,SLFC460300,23771055013,SL300,memory foam cushion,EXACT,1.2,,1.35,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0121,https://www.ebay.com.au/itm/186704217410,SLFC460300,23771055013,SL300,memory foam seat cushion,EXACT,1.12,,1.35,P1 - 4 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0122,https://www.ebay.com.au/itm/186704217410,SLFC460300,23771055013,SL300,foam seat pad,EXACT,1.03,1.13,1.35,P1 - 1 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0123,https://www.ebay.com.au/itm/186704217410,SLFC460300,23771055013,SL300,car seat cushion memory foam,EXACT,1.05,1.15,1.35,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0124,https://www.ebay.com.au/itm/186704217410,SLFC460300,23771055013,SL300,butt pillow,EXACT,0.3,0.4,1.35,No,P1 - 6 / 70,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0125,https://www.ebay.com.au/itm/186621342953,MSSU150092,16602900013,MS092,warehouse rack,PHRASE,1.5,,1.65,P1 - 4 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0126,https://www.ebay.com.au/itm/186621342953,MSSU150092,16602900013,MS092,pallet racking,PHRASE,0.43,0.53,1.65,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
