ReferenceID,Product URL,Product Title,Keyword,sku,Product ID,Sponsored Rank,Organic Rank,Is Top 24 Advertised,Column1
0186,https://www.ebay.com.au/itm/186400059405,Topex 3in1 200W Electric Finishing Sander Sanding Tool 6 Speeds 3 Sanding Base,sander electric,TXES3N1098,1.864E+11,P1 - 39 / 70,No,No,
0188,https://www.ebay.com.au/itm/186400059405,Topex 3in1 200W Electric Finishing Sander Sanding Tool 6 Speeds 3 Sanding Base,sander,TXES3N1098,1.864E+11,P1 - 40 / 70,No,No,
0189,https://www.ebay.com.au/itm/186400059405,Topex 3in1 200W Electric Finishing Sander Sanding Tool 6 Speeds 3 Sanding Base,sander,TXES3N1098,1.864E+11,P1 - 40 / 70,No,No,
0190,https://www.ebay.com.au/itm/186400059405,Topex 3in1 200W Electric Finishing Sander Sanding Tool 6 Speeds 3 Sanding Base,electric sander,TXES3N1098,1.864E+11,P1 - 39 / 70,No,No,
0194,https://www.ebay.com.au/itm/185487539412,Monika Pink Tool Combo Portable Household Tool Set & Piece Gardening Tool Kit,hand tool sets,MK012MK014,1.85488E+11,P1 - 46 / 68,No,No,
0233,https://www.ebay.com.au/itm/186312083773,Stelive 56 PCs Clear Food Storage Container Set Leak Proof Lunch Boxes BPA-Free,food storage containers,SLFC56P101,1.86312E+11,P1 - 35 / 70,No,No,
0278,https://www.ebay.com.au/itm/186008132332,"TOPEX 1200W Angle Grinder Heavy Duty 125mm 5"" Angle Grinder w/ Cutting Disc",125mm grinder,TXAG12W028,1.86008E+11,No,P1 - 11 / 70,No,
0279,https://www.ebay.com.au/itm/186008132332,"TOPEX 1200W Angle Grinder Heavy Duty 125mm 5"" Angle Grinder w/ Cutting Disc",angle grinder,TXAG12W028,1.86008E+11,No,P1 - 11 / 70,No,
0330,https://www.ebay.com.au/itm/185273082337,TOPEX Deluxe Folding Utility Knife 2 Piece Lock Back Auto Load Total 58 Blades,utility,TXTK3PC056,1.85273E+11,P2 - 29 / 62,No,No,
0331,https://www.ebay.com.au/itm/185374333818,"50-400pcs 125mm 5"" Professional Cutting Wheels Discs 2 in1 Steel Inox Ultra Thin",grinding discs,TXCTD125M022,1.85374E+11,P2 - 39 / 62,No,No,
0332,https://www.ebay.com.au/itm/185374333818,"50-400pcs 125mm 5"" Professional Cutting Wheels Discs 2 in1 Steel Inox Ultra Thin",cutting discs,TXCTD125M022,1.85374E+11,P1 - 31 / 68,No,No,
0348,https://www.ebay.com.au/itm/186704238905,TOPEX 16-In-1 Multitool Plier Multi Tool & Folding Knife Set with Safety Locking,multitool,TXMK2PC059,1.86704E+11,P1 - 37 / 70,No,No,
0356,https://www.ebay.com.au/itm/186557922091,Stelive 2-Tier Dish Drying Rack Dish Drainer Cutlery Holder Dish Storage Rack,dish rack,SLDR2LY110,1.86558E+11,P1 - 48 / 70,No,No,
0383,https://www.ebay.com.au/itm/185872310541,KOZYARD 3-in-1 3000W Electric Leaf Blower Vacuum Mulcher Hand-Held Leaf Vac,blower vac,KYLB3N1032,1.85872E+11,P1 - 28 / 62,No,No,
0385,https://www.ebay.com.au/itm/185872310541,KOZYARD 3-in-1 3000W Electric Leaf Blower Vacuum Mulcher Hand-Held Leaf Vac,blower vac cordless,KYLB3N1032,1.85872E+11,P1 - 29 / 62,No,No,
0393,https://www.ebay.com.au/itm/185725772967,Monika 5In1 Electric Stick Blender Handheld Mixer Chopper Stainless Steel Whisk,electric mixer,MKSB700051,1.85726E+11,P1 - 39 / 70,No,No,
0401,https://www.ebay.com.au/itm/185180081889,TOPEX Water Pump Submersible Sump Pump Water hose Swim Pool Flooding Pond Clean,water pump 240v,TXDP750W132,1.8518E+11,P1 - 40 / 70,No,No,
0402,https://www.ebay.com.au/itm/185180081889,TOPEX Water Pump Submersible Sump Pump Water hose Swim Pool Flooding Pond Clean,submersible pump 240v,TXDP750W132,1.8518E+11,P1 - 24 / 70,No,No,
0414,https://www.ebay.com.au/itm/185433279682,2.5KG High Pressure Dry Powder Fire Extinguisher,fire extinguisher,FB25ABE,1.85433E+11,P1 - 24 / 70,No,No,
0434,https://www.ebay.com.au/itm/185294655112,KOZYARD Waterproof Patio Chair Cover Lounge Deep Seat Single Lawn Chair Cover,patio chair cover,KYCC077CM016,1.85295E+11,P1 - 36 / 70,P1 - 11 / 70,No,
